City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,usinsk,65.9939,57.5281,296.7,47,59,4.89,RU,1690956306
320,padampur,29.6833,73.6167,310.67,40,6,6.42,IN,1690957104
321,sao felix do xingu,-6.6447,-51.995,295.71,62,88,0.68,BR,1690956607
322,coquimbo,-29.9533,-71.3436,285.0,100,100,1.54,CL,1690956387
323,happy valley-goose bay,53.3168,-60.3315,286.32,88,100,1.54,CA,1690957105
324,abong mbang,3.9833,13.1833,292.82,97,99,1.29,CM,1690957105
325,selydove,48.1471,37.3003,298.44,56,77,1.57,UA,1690957105
326,patterson,37.4716,-121.1297,294.88,70,32,1.43,US,1690956929
327,al mijlad,11.0333,27.7333,299.21,62,98,4.77,SD,1690957106
328,kolyvan',55.3053,82.7391,301.94,42,35,1.37,RU,1690957106
329,moyynkum,44.2914,72.9469,309.4,18,16,6.46,KZ,1690957106
330,maxixe,-23.8597,35.3472,292.83,59,53,5.59,MZ,1690957106
331,geraldton,-28.7667,114.6,289.38,88,100,7.2,AU,1690956435
332,moyale,3.5167,39.0584,293.35,65,86,7.33,KE,1690957107
333,sorong,-0.8833,131.25,301.4,81,45,5.13,ID,1690956555
334,shimokizukuri,40.8061,140.3861,305.38,74,99,4.12,JP,1690957107
335,valparaiso,-33.0393,-71.6273,288.95,66,0,3.09,CL,1690956984
336,urengoy,65.9667,78.3667,302.51,40,0,6.29,RU,1690957108
337,miquelon,47.0975,-56.3814,290.15,85,31,7.76,PM,1690957108
338,zyryanskoye,56.8306,86.6258,301.0,48,8,0.96,RU,1690957108
339,mahdia,35.5047,11.0622,301.12,51,0,2.48,TN,1690956786
340,kirensk,57.7853,108.1119,299.96,31,17,4.7,RU,1690956526
341,puerto deseado,-47.7503,-65.8938,277.28,45,19,15.4,AR,1690957109
342,amuntai,-2.4177,115.2494,310.37,33,9,1.03,ID,1690957109
343,sao mateus,-18.7161,-39.8589,291.01,91,26,1.6,BR,1690957109
344,cabo san lucas,22.8909,-109.9124,303.99,76,87,1.28,MX,1690957109
345,sarupathar,26.1984,93.8094,307.01,60,93,1.33,IN,1690957110
346,kingsville,27.5159,-97.8561,301.99,86,20,0.45,US,1690957110
347,fujin,47.26,132.0322,301.77,77,94,4.03,CN,1690957110
348,sault ste. marie,46.5168,-84.3333,290.46,96,0,1.03,CA,1690956940
349,lossiemouth,57.7214,-3.2834,286.57,95,20,4.12,GB,1690957111
350,enewetak,11.3474,162.3373,301.73,77,77,4.43,MH,1690957111
351,luderitz,-26.6481,15.1594,290.89,27,2,9.22,NA,1690957111
352,de aar,-30.6497,24.0123,278.75,37,0,2.14,ZA,1690957111
353,cestos city,5.46,-9.5828,297.71,89,100,2.89,LR,1690957111
354,mao,39.8885,4.2658,300.46,89,75,3.6,ES,1690956944
355,alice town,25.7167,-79.3,302.48,69,67,3.0,BS,1690956970
356,villa emilio carranza,19.9667,-96.6,298.91,85,53,1.78,MX,1690957112
357,nueva palestina,15.8,-92.75,293.76,96,98,1.09,MX,1690957113
358,brookings,44.3114,-96.7984,296.15,93,0,4.12,US,1690956993
359,mentekab,3.4854,102.3484,306.95,51,80,0.56,MY,1690957114
360,kasempa,-13.4584,25.8338,289.2,64,62,5.17,ZM,1690957114
361,taoudenni,22.6783,-3.9836,309.1,9,16,1.67,ML,1690957114
